,link,title,summary,published_date,keywords,external_links
0,https://philadelphia.cbslocal.com/2021/11/29/kanye-davis-north-philadelphia-shooting-deadly-gun-violence-diamond-street-teen/,"16-Year-Old Shot 8 Times In Deadly North Philadelphia Shooting Identified As Kanye Davis, Police Say","PHILADELPHIA (CBS) — A 16-year-old boy is dead after being shot eight times in North Philadelphia Sunday night, according to Philadelphia police. The victim was later identified as Kanye Davis, police say.The shooting happened in the 400 block of Diamond Street at 8 p.m.READ MORE: TSA Confiscates Loaded Handgun From Man At Philadelphia International AirportThe department said officers found the victim with eight gunshot wounds throughout the body inside a Nissan. He was pronounced dead at the hospital.",2021-11-29 09:15:38,"['north philadelphia', ' shooting', ' deadly', ' gun violence', ' diamond street', ' teen', '']","{'https://philadelphia.cbslocal.com/2021/12/04/donald-grier-townsend-new-castle-county-delaware-triple-homicide/', 'https://philadelphia.cbslocal.com/2021/12/05/philadelphia-commerce-director-michael-rashid-resigns-anti-semitic-abused-staff/', 'https://philadelphia.cbslocal.com/2021/12/04/chester-pedestrians-church-driver-crash-police/', 'https://philadelphia.cbslocal.com/2021/12/06/ben-simmons-damian-lillard-philadelphia-sixers-portland-trail-blazers/', 'https://philadelphia.cbslocal.com/2021/12/04/kristhie-alcazar-new-jersey-penns-grove-salem-county-mother-infant-stabbing-murder/', 'https://philadelphia.cbslocal.com/2021/12/05/doylestown-buckingham-township-bucks-county-house-fire-man-dead/', 'https://philadelphia.cbslocal.com/2021/12/04/covid19-omicron-variant-reported-philadelphia-new-jersey/', 'https://philadelphia.cbslocal.com/2021/12/04/carroll-park-kensington-philadelphia-pennsylvania-gun-violence-shooting-double-lansdowne-avenue-westmoreland-homicide/', 'https://philadelphia.cbslocal.com/2021/12/04/philadelphia-winter-holiday-parade-hanukkah-christmas-kwanzaa-chinese-new-year-charlie-manuel/', 'https://philadelphia.cbslocal.com/2021/12/05/philadelphia-shooting-kensington-gun-violence-men-dead/'}"
1,https://philadelphia.cbslocal.com/2021/12/01/latif-williams-samuel-collington-philadelphia-gun-violence-shooting-temple-university-attempted-robbery/,"What We Know About 17-Year-Old Latif Williams, Wanted For Murder Of Temple Student Samuel Collington","PHILADELPHIA (CBS) — Philadelphia police are searching for a 17-year-old who they say shot and killed a Temple University student over the weekend. Authorities announced Wednesday that Latif Williams is wanted for murderPolice said Williams shot and killed 21-year-old Samuel Sean Collington Sunday on North Park Avenue in North Philadelphia. The Temple student was at an off-campus apartment complex when the shooting happened. Authorities said it was an attempted robbery.
BREAKING: Philadelphia Police are searching for Latif Williams, 17.",2021-12-01 11:43:44,"['latif williams', ' samuel collington', ' philadelphia', ' gun violence', ' shooting', ' temple university', ' attempted robbery']","{'https://philadelphia.cbslocal.com/2021/12/04/donald-grier-townsend-new-castle-county-delaware-triple-homicide/', 'https://philadelphia.cbslocal.com/2021/12/05/philadelphia-commerce-director-michael-rashid-resigns-anti-semitic-abused-staff/', 'https://philadelphia.cbslocal.com/2021/12/04/chester-pedestrians-church-driver-crash-police/', 'https://philadelphia.cbslocal.com/2021/12/06/ben-simmons-damian-lillard-philadelphia-sixers-portland-trail-blazers/', 'https://philadelphia.cbslocal.com/2021/12/04/kristhie-alcazar-new-jersey-penns-grove-salem-county-mother-infant-stabbing-murder/', 'https://philadelphia.cbslocal.com/2021/12/05/doylestown-buckingham-township-bucks-county-house-fire-man-dead/', 'https://philadelphia.cbslocal.com/2021/12/04/covid19-omicron-variant-reported-philadelphia-new-jersey/', 'https://philadelphia.cbslocal.com/2021/12/04/carroll-park-kensington-philadelphia-pennsylvania-gun-violence-shooting-double-lansdowne-avenue-westmoreland-homicide/', 'https://philadelphia.cbslocal.com/2021/12/04/philadelphia-winter-holiday-parade-hanukkah-christmas-kwanzaa-chinese-new-year-charlie-manuel/', 'https://philadelphia.cbslocal.com/2021/12/05/philadelphia-shooting-kensington-gun-violence-men-dead/'}"
2,https://www.chron.com/news/article/Philadelphia-shooting-leaves-2-men-dead-another-16676160.php,"Philadelphia shooting leaves 2 men dead, another wounded","PHILADELPHIA (AP) — A shooting in a Philadelphia neighborhood early Sunday left two men dead and a third hospitalized, authorities said.The shooting in the city's Kensington section neighborhood occurred around 4:30 a.m. The gunfire erupted near an after-hours club, but it wasn't clear if the shooting stemmed from an incident there or if the men had been in the club. The three men were all taken to a hospital where two of them were pronounced dead a short time later. One of the deceased victims had been shot four times — twice in the chest and twice in the face — while the other was shot twice in the chest and once to the back.",2021-12-05 16:59:12,[],set()
3,https://www.sfgate.com/news/article/Philadelphia-shooting-leaves-2-men-dead-another-16676160.php,"Philadelphia shooting leaves 2 men dead, another wounded","PHILADELPHIA (AP) — A shooting in a Philadelphia neighborhood early Sunday left two men dead and a third hospitalized, authorities said.The shooting in the city's Kensington section neighborhood occurred around 4:30 a.m. The gunfire erupted near an after-hours club, but it wasn't clear if the shooting stemmed from an incident there or if the men had been in the club. The three men were all taken to a hospital where two of them were pronounced dead a short time later. One of the deceased victims had been shot four times — twice in the chest and twice in the face — while the other was shot twice in the chest and once to the back.",2021-12-05 16:59:12,[],set()
4,https://patch.com/pennsylvania/philadelphia/14-year-old-boy-dies-after-being-shot-18-times-philadelphia,14-Year-Old Boy Dies After Being Shot 18 Times In Philadelphia,"The boy was on his way home from school when he was shot and killed. (Shutterstock)PHILADELPHIA — A teenage boy was shot and killed in a hail of gunfire Monday afternoon in Philadelphia, according to reports.The shooting occurred at about 3:30 p.m. near the intersection of Wyoming and Rising Sun in Feltonville, Fox 29 reports. According to NBC10, the victim was Samir Jefferson, 14.Action News reports Jefferson was shot 18 times throughout his body and authorities found 35 shell casings from two guns at the scene of the shooting.",2021-11-30 17:42:11,[],set()
5,https://philadelphia.cbslocal.com/2021/12/04/philadelphia-shooting-fairhill-gun-violence-man-woman-dead/,"Double Shooting Leaves Man, Woman Dead In Philadelphia's Fairhill Section, Police Say","PHILADELPHIA (CBS) — A man and woman were shot and killed in Philadelphia's Fairhill section on Saturday, police say. The shooting happened on the 2900 block of North Orkney Street around 12:30 p.m.The man was shot once in the chest and two times in the groin, according to officials. He was transported to Temple University Hospital and pronounced dead at 12:43 p.m.READ MORE: Police Identify Man Killed In North Philadelphia Hit-And-Run As 64-Year-Old Raymond HodginsThe woman, a 43-year-old, was shot once in the chest and pronounced dead by medics at 12:32 p.",2021-12-04 13:35:34,"['philadelphia shooting', ' philadelphia gun violence', ' philly gun violence', ' philly shooting', ' north philadelphia shooting', ' north philly shooting', ' fairhill shooting', '']","{'https://philadelphia.cbslocal.com/2021/12/04/donald-grier-townsend-new-castle-county-delaware-triple-homicide/', 'https://philadelphia.cbslocal.com/2021/12/05/philadelphia-commerce-director-michael-rashid-resigns-anti-semitic-abused-staff/', 'https://philadelphia.cbslocal.com/2021/12/04/chester-pedestrians-church-driver-crash-police/', 'https://philadelphia.cbslocal.com/2021/12/06/ben-simmons-damian-lillard-philadelphia-sixers-portland-trail-blazers/', 'https://philadelphia.cbslocal.com/2021/12/04/kristhie-alcazar-new-jersey-penns-grove-salem-county-mother-infant-stabbing-murder/', 'https://philadelphia.cbslocal.com/2021/12/05/doylestown-buckingham-township-bucks-county-house-fire-man-dead/', 'https://philadelphia.cbslocal.com/2021/12/04/covid19-omicron-variant-reported-philadelphia-new-jersey/', 'https://philadelphia.cbslocal.com/2021/12/04/carroll-park-kensington-philadelphia-pennsylvania-gun-violence-shooting-double-lansdowne-avenue-westmoreland-homicide/', 'https://philadelphia.cbslocal.com/2021/12/04/philadelphia-winter-holiday-parade-hanukkah-christmas-kwanzaa-chinese-new-year-charlie-manuel/', 'https://philadelphia.cbslocal.com/2021/12/05/philadelphia-shooting-kensington-gun-violence-men-dead/'}"
6,https://philadelphia.cbslocal.com/2021/12/05/philadelphia-shooting-kensington-gun-violence-men-dead/,"Triple Shooting In Kensington Leaves 2 Men Dead, Another Injured, Philadelphia Police Say","PHILADELPHIA (CBS) — The gun violence crisis continues in Philadelphia. A triple shooting in Kensington has left two men dead and another injured Sunday morning, according to officials.Police are now investigating the shooting. The incident occurred around 4:30 a.m. at the intersection of North Front Street and East Allegheny Avenue. READ MORE: 6 Pedestrians Hit By Driver While Leaving Chester Church, Police SayThe majority of the investigation was surrounding the outside of El Vacilon, a club at 3215 North Front Street.",2021-12-05 08:09:02,"['philadelphia shooting', ' kensington shooting', ' philly shooting', ' philadelphia gun violence', ' philly gun violence', ' philly gun violence epidemic', ' philly gun problems', ' philly violence', ' north philly', '']","{'https://philadelphia.cbslocal.com/2021/12/04/donald-grier-townsend-new-castle-county-delaware-triple-homicide/', 'https://philadelphia.cbslocal.com/2021/12/05/philadelphia-commerce-director-michael-rashid-resigns-anti-semitic-abused-staff/', 'https://philadelphia.cbslocal.com/2021/12/04/chester-pedestrians-church-driver-crash-police/', 'https://philadelphia.cbslocal.com/2021/12/06/ben-simmons-damian-lillard-philadelphia-sixers-portland-trail-blazers/', 'https://philadelphia.cbslocal.com/2021/12/04/kristhie-alcazar-new-jersey-penns-grove-salem-county-mother-infant-stabbing-murder/', 'https://philadelphia.cbslocal.com/2021/12/05/doylestown-buckingham-township-bucks-county-house-fire-man-dead/', 'https://philadelphia.cbslocal.com/2021/12/04/covid19-omicron-variant-reported-philadelphia-new-jersey/', 'https://philadelphia.cbslocal.com/2021/12/04/carroll-park-kensington-philadelphia-pennsylvania-gun-violence-shooting-double-lansdowne-avenue-westmoreland-homicide/', 'https://philadelphia.cbslocal.com/2021/12/04/philadelphia-winter-holiday-parade-hanukkah-christmas-kwanzaa-chinese-new-year-charlie-manuel/', 'https://philadelphia.cbslocal.com/2021/12/05/philadelphia-shooting-kensington-gun-violence-men-dead/'}"
7,https://philadelphia.cbslocal.com/2021/12/04/philadelphia-lawncrest-shooting-man-injured-gun-violence/,"Lawncrest Shooting Leaves Man Injured, Philadelphia Police Say","PHILADELPHIA (CBS) — A man was shot early Saturday morning in Philadelphia's Lawncrest section, police say. The shooting happened at Hasbrook and Godfrey Streets around 2:45 a.m.

Police say the victim is in stable condition. 
There's no word of an arrest or weapon being recovered at this time.
For a list of gun violence resources in Philadelphia, click here
 ©2021 CBS Broadcasting Inc. All Rights Reserved. Powered by WordPress VIP",2021-12-04 09:53:19,"['philadelphia shooting', ' philly shooting', ' lawncrest shooting', ' philadelphia gun violence', ' philly gun violence', ' north philadelphia shooting']","{'https://philadelphia.cbslocal.com/2021/12/04/donald-grier-townsend-new-castle-county-delaware-triple-homicide/', 'https://philadelphia.cbslocal.com/2021/12/05/philadelphia-commerce-director-michael-rashid-resigns-anti-semitic-abused-staff/', 'https://philadelphia.cbslocal.com/2021/12/04/chester-pedestrians-church-driver-crash-police/', 'https://philadelphia.cbslocal.com/2021/12/06/ben-simmons-damian-lillard-philadelphia-sixers-portland-trail-blazers/', 'https://philadelphia.cbslocal.com/2021/12/04/kristhie-alcazar-new-jersey-penns-grove-salem-county-mother-infant-stabbing-murder/', 'https://philadelphia.cbslocal.com/2021/12/05/doylestown-buckingham-township-bucks-county-house-fire-man-dead/', 'https://philadelphia.cbslocal.com/2021/12/04/covid19-omicron-variant-reported-philadelphia-new-jersey/', 'https://philadelphia.cbslocal.com/2021/12/04/carroll-park-kensington-philadelphia-pennsylvania-gun-violence-shooting-double-lansdowne-avenue-westmoreland-homicide/', 'https://philadelphia.cbslocal.com/2021/12/04/philadelphia-winter-holiday-parade-hanukkah-christmas-kwanzaa-chinese-new-year-charlie-manuel/', 'https://philadelphia.cbslocal.com/2021/12/05/philadelphia-shooting-kensington-gun-violence-men-dead/'}"
8,https://apnews.com/f7d61fa2a1666c7144099e9384afaba3,"Philadelphia shooting leaves 2 men dead, another wounded","PHILADELPHIA (AP) — A shooting in a Philadelphia neighborhood early Sunday left two men dead and a third hospitalized, authorities said.The shooting in the city's Kensington section neighborhood occurred around 4:30 a.m. The gunfire erupted near an after-hours club, but it wasn't clear if the shooting stemmed from an incident there or if the men had been in the club.The three men were all taken to a hospital where two of them were pronounced dead a short time later. One of the deceased victims had been shot four times — twice in the chest and twice in the face — while the other was shot twice in the chest and once to the back.",2021-12-05 16:59:12,['yes'],set()
9,https://philadelphia.cbslocal.com/2021/12/01/philadelphia-gun-violence-ambush-shooting-deadly-killing-lambert-street/,Man Dies In North Philadelphia After Ambush Shooting,PHILADELPHIA (CBS) — A man is dead after Philadelphia police say he was ambushed while sitting in his car in North Philadelphia. The shooting happened around 11:30 p.m. Tuesday in the 2100 block of Lambert Street.Authorities said the 36-year-old victim was in a parked car when someone fired into it. The department said a total of 10 shots were fired at the car.READ MORE: Woman Assaulted By Juvenile Suspects On SEPTA TrainThe victim tried to escape by running into a friend's home nearby. He collapsed in the living room and later died.,2021-12-01 05:01:59,"['philadelphia', ' gun violence', ' ambush', ' shooting', ' deadly', ' killing', ' lambert street']","{'https://philadelphia.cbslocal.com/2021/12/04/donald-grier-townsend-new-castle-county-delaware-triple-homicide/', 'https://philadelphia.cbslocal.com/2021/12/05/philadelphia-commerce-director-michael-rashid-resigns-anti-semitic-abused-staff/', 'https://philadelphia.cbslocal.com/2021/12/04/chester-pedestrians-church-driver-crash-police/', 'https://philadelphia.cbslocal.com/2021/12/06/ben-simmons-damian-lillard-philadelphia-sixers-portland-trail-blazers/', 'https://philadelphia.cbslocal.com/2021/12/04/kristhie-alcazar-new-jersey-penns-grove-salem-county-mother-infant-stabbing-murder/', 'https://philadelphia.cbslocal.com/2021/12/05/doylestown-buckingham-township-bucks-county-house-fire-man-dead/', 'https://philadelphia.cbslocal.com/2021/12/04/covid19-omicron-variant-reported-philadelphia-new-jersey/', 'https://philadelphia.cbslocal.com/2021/12/04/carroll-park-kensington-philadelphia-pennsylvania-gun-violence-shooting-double-lansdowne-avenue-westmoreland-homicide/', 'https://philadelphia.cbslocal.com/2021/12/04/philadelphia-winter-holiday-parade-hanukkah-christmas-kwanzaa-chinese-new-year-charlie-manuel/', 'https://philadelphia.cbslocal.com/2021/12/05/philadelphia-shooting-kensington-gun-violence-men-dead/'}"
